date,Afghanistan,Albania,Algeria,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahrain,Bangladesh,Belarus,Belgium,Bolivia,Bosnia and Herzegovina,Brazil,Bulgaria,Cameroon,Canada,Chile,China,Colombia,Congo (Kinshasa),Costa Rica,Cote d'Ivoire,Croatia,Czechia,Denmark,Dominican Republic,Ecuador,Egypt,El Salvador,Ethiopia,Finland,France,Gabon,Germany,Ghana,Greece,Guatemala,Guinea,Honduras,Hungary,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Japan,Kazakhstan,Kenya,"Korea, South",Kosovo,Kuwait,Kyrgyzstan,Lebanon,Libya,Madagascar,Malaysia,Maldives,Mexico,Moldova,Morocco,Namibia,Nepal,Netherlands,Nigeria,North Macedonia,Norway,Oman,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Saudi Arabia,Senegal,Serbia,Singapore,South Africa,Spain,Sudan,Sweden,Switzerland,Tajikistan,Turkey,US,Ukraine,United Arab Emirates,United Kingdom,Uzbekistan,Venezuela,West Bank and Gaza,Zambia
2020-07-03,32324,2752,15070,72786,27320,8260,18050,19267,28410,156391,62997,61727,36818,4962,1539081,5497,12592,106962,288089,84838,109505,7311,4311,10244,3008,12319,13032,35148,60657,72711,7267,5846,7242,204222,5620,196780,19388,3486,21293,5521,22116,4172,648315,60695,235429,56020,25498,28055,241184,19185,45719,7188,13030,3064,48672,6878,1830,918,2512,8648,2410,245251,17445,13288,350,15259,50698,27564,6787,8921,43929,221896,35995,2349,295599,40336,35405,43156,98653,28166,666941,201801,7164,15504,44479,177124,250545,9663,69996,32101,6058,203456,2795361,47705,50141,285787,9396,6537,3334,1632
2020-07-04,32672,2819,15500,75376,27900,8443,18165,19801,28857,159679,63270,61838,38071,4962,1577004,5677,12592,107185,291847,84857,113389,7379,4621,10462,3094,12440,13032,36184,61535,74035,7507,5846,7248,204222,5620,197198,19388,3511,22501,5570,22921,4174,673165,62142,237878,58354,25509,29170,241419,19461,47171,7577,13091,3178,49303,7094,1855,989,2728,8658,2435,252165,17672,13822,375,15491,50761,28167,6932,8926,45106,225283,36983,2385,299080,41830,35719,43569,99183,28582,673564,205929,7272,15829,44664,187977,250545,9767,70366,32198,6159,204610,2841241,48628,50857,286412,9708,6750,3835,1632
2020-07-05,32951,2893,15941,77815,28606,8583,18280,20324,29367,162417,63554,62016,39297,4962,1603055,5740,12592,107394,295532,84871,117110,7411,4996,10772,3151,12515,13033,37425,61958,75253,7777,5846,7253,204222,5620,197523,20085,3519,23248,5610,23943,4183,697413,63749,240438,60479,25527,29958,241611,19668,48574,7886,13137,3356,49941,7377,1873,1046,2941,8663,2468,256848,17814,14215,412,15784,50834,28711,7046,8930,46178,231818,38149,2427,302718,44254,35950,43897,99799,28973,680283,209509,7400,16131,44800,196750,250545,9767,70681,32268,6213,205758,2891124,49468,51540,286931,10020,7169,4277,1632
2020-07-06,33190,2964,16404,80447,28936,8755,18365,20837,29821,165618,63804,62058,40509,5458,1623284,5914,12592,107815,298557,84889,120281,7432,5241,10966,3220,12566,13079,38128,62380,76222,8027,5846,7257,205597,5743,198064,21077,3562,23972,5610,24665,4189,719664,64958,243051,62275,25531,30749,241819,19848,49683,8067,13181,3508,50644,8141,1885,1117,3250,8668,2491,261750,17906,14379,485,15964,50870,29286,7124,8936,47735,234509,39334,2456,305703,46333,36155,44129,100345,29223,686852,213716,7478,16420,44983,205721,251789,9894,70932,32315,6262,206844,2936077,50053,52068,287290,10362,7411,4341,1632
2020-07-07,33384,3038,16879,83426,29285,8886,18421,21374,30321,168645,64003,62058,41545,5621,1668589,6102,14916,108023,301019,84917,124494,7432,5486,11194,3272,12685,13089,38430,63245,77279,8307,5846,7262,206072,5743,198343,21968,3589,24787,5636,25428,4205,742417,66226,245688,64701,25538,32222,241956,20055,51059,8250,13244,3703,51245,8279,1907,1182,3472,8674,2501,268008,18141,14607,539,16168,50907,29789,7244,8947,48997,237489,40291,2502,309278,47873,36412,44416,100945,29620,693215,217108,7547,16719,45140,215855,252130,9997,71210,32369,6315,207897,2996098,50622,52600,287874,10838,7693,4647,1895
2020-07-08,33594,3106,17348,87030,29820,9056,18513,21916,30931,172134,64224,62123,42984,5869,1713160,6342,14916,108334,303083,84950,128638,7432,5836,11504,3325,12814,13101,39588,63245,78304,8566,6774,7265,206072,5871,198699,22822,3622,25411,5697,25978,4210,767296,68079,248379,67442,25542,33557,242149,20261,51059,8528,13293,3886,52007,8847,1946,1268,3573,8677,2517,275003,18471,14771,593,16423,50959,30249,7406,8950,50207,240848,41251,2554,312911,50359,36689,44859,101553,30175,699749,220144,7657,17076,45298,224665,252513,10084,71747,32498,6364,208938,3054699,51457,53045,288511,11092,8008,5029,1895
2020-07-09,33908,3188,17808,90693,30346,9374,18615,22464,31528,175494,64411,62210,44113,6086,1755779,6672,14916,108656,306216,84992,133973,7846,6485,11750,3416,12919,13117,40790,64221,79254,8844,6973,7273,207356,5871,199001,23463,3672,26658,5881,26384,4220,793802,70736,250458,69612,25565,34825,242363,20617,54747,8975,13338,4100,52840,9358,2011,1342,3782,8683,2553,282283,18666,15079,615,16531,51013,30748,7572,8965,51725,243599,42216,2638,316448,51754,36951,45277,102110,30789,706240,223327,7784,17342,45423,238339,253056,10158,72082,32586,6410,209962,3117946,52285,53577,289154,11564,8372,5220,1895
2020-07-10,34194,3278,18242,94060,30903,9553,18709,22990,32039,178443,64604,62357,45565,6402,1800827,6964,14916,108984,309274,84992,140776,7905,6845,12052,3532,13001,13147,41915,65018,80235,9142,7120,7279,208015,5942,199332,23834,3732,27619,5969,27053,4223,820916,72347,252720,72460,25589,36266,242639,21044,56455,9448,13373,4307,53580,9910,2082,1342,4143,8696,2617,289174,18924,15328,668,16649,51055,31323,7777,8974,53614,246351,43257,2736,319646,52914,37216,45679,102630,31381,712863,226486,7882,17728,45614,250687,253908,10204,72459,32690,6457,210965,3185737,53116,54050,289678,12027,8803,5551,1895
2020-07-11,34366,3371,18712,97509,31392,9797,18783,23521,32470,181129,64767,62469,47200,6719,1839850,7175,15173,109150,312029,85071,145632,7971,7231,12443,3672,13115,13147,43114,67209,81158,9391,7402,7291,208015,5942,199709,24248,3772,28598,6044,27583,4229,849522,74018,255117,75194,25611,37464,242827,21430,58253,9726,13417,4512,54058,10410,2168,1389,4578,8704,2664,295268,19208,15542,668,16719,51136,31987,7975,8977,54697,248872,44332,2820,322710,54222,37521,46221,103128,32079,719449,229480,8014,18073,45783,264184,253908,10250,72773,32817,6506,211981,3245925,53941,54453,290504,12513,9178,5931,1895
2020-07-12,34451,3454,19195,100166,31969,9980,18897,24041,32941,183795,64932,62707,48187,6877,1864681,7252,15173,109348,315041,85117,150445,8033,7596,12766,3722,13174,13147,44532,67870,82070,9674,7560,7294,208015,5942,199919,24518,3803,29355,6141,28090,4234,878254,75699,257303,77506,25628,38670,243061,21841,58253,10105,13479,4715,54894,11117,2334,1433,4867,8718,2731,299750,19382,15745,785,16801,51237,32558,8111,8981,56015,251625,45633,2948,326326,56259,37891,46512,103598,32535,726036,232259,8135,18360,45961,276242,253908,10250,72879,32883,6552,212993,3304942,54647,54854,291154,12997,9465,6230,1895
