date,Afghanistan,Albania,Algeria,Andorra,Angola,Antigua and Barbuda,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,Brunei,Bulgaria,Burkina Faso,Burma,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Central African Republic,Chad,Chile,China,Colombia,Comoros,Congo (Brazzaville),Congo (Kinshasa),Costa Rica,Cote d'Ivoire,Croatia,Cuba,Cyprus,Czechia,Denmark,Diamond Princess,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Fiji,Finland,France,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Grenada,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Holy See,Honduras,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,"Korea, South",Kosovo,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia
2020-08-05,1294,182,1261,52,62,3,4106,770,255,719,476,14,154,3267,7,577,9859,2,38,0,3385,379,2,97256,3,424,54,6,1,27,0,391,9010,59,75,9792,4677,11624,7,58,215,191,103,154,88,19,388,616,13,59,0,1222,5847,4930,498,83,0,63,53,356,1,331,30297,51,16,17,9179,199,210,0,2072,49,27,22,171,0,1423,599,10,40699,5452,17802,5094,1763,565,35181,12,1028,11,1058,391,302,296,468,1438,0,32,68,21,78
2020-08-06,1298,188,1273,52,64,3,4251,772,266,719,479,14,156,3306,7,580,9861,2,38,0,3465,384,2,98493,3,435,54,6,1,27,0,391,9013,59,76,9889,4680,11939,7,58,215,200,103,155,88,19,390,617,13,59,0,1246,5877,4951,513,83,0,63,55,365,1,331,30308,51,16,17,9181,199,210,0,2119,49,27,22,171,0,1446,600,10,41585,5521,17976,5161,1768,576,35187,12,1034,11,1058,399,303,300,469,1447,0,32,70,23,78
2020-08-07,1307,189,1282,52,67,3,4411,777,278,720,483,14,159,3333,7,583,9866,2,38,0,3524,394,2,99572,3,442,54,6,1,29,0,391,9017,59,76,9958,4681,12250,7,58,218,218,104,155,88,19,389,617,13,59,0,1259,5897,4971,520,83,0,63,56,380,1,331,30327,51,19,17,9195,206,210,0,2168,50,27,22,177,0,1465,602,10,42518,5593,18132,5236,1772,581,35190,13,1042,11,1058,413,304,303,471,1451,0,32,70,23,78
2020-08-08,1312,193,1293,52,70,3,4523,785,295,721,488,14,161,3365,7,585,9870,2,38,0,3587,394,2,100477,3,445,54,6,1,32,0,395,9024,59,76,10011,4681,12540,7,58,218,228,104,157,88,19,389,617,13,59,0,1289,5916,4992,536,83,0,63,56,390,1,331,30327,51,19,17,9201,206,211,0,2197,50,29,22,182,0,1476,602,10,43379,5658,18264,5310,1772,593,35203,13,1042,11,1058,418,305,303,474,1459,0,32,78,23,79
2020-08-09,1312,199,1302,52,75,3,4606,791,313,721,490,15,162,3399,7,587,9872,2,38,0,3640,394,2,101049,3,447,54,6,1,32,0,395,9028,60,76,10077,4686,12842,7,58,224,235,105,157,88,19,390,617,13,59,0,1309,5922,5009,549,83,0,63,58,407,1,331,30327,51,23,17,9202,215,212,0,2211,50,29,22,183,0,1495,602,10,44386,5723,18427,5392,1772,600,35205,14,1047,11,1058,420,305,303,478,1468,0,32,78,23,79
2020-08-10,1328,200,1312,52,78,3,4764,796,331,723,492,15,163,3438,7,589,9879,2,38,0,3712,425,2,101752,3,459,54,6,1,32,0,395,9034,60,76,10139,4689,13154,7,58,224,244,105,158,88,19,390,620,13,59,0,1328,5932,5035,563,83,0,63,61,420,1,333,30327,51,23,17,9203,215,213,0,2222,50,29,22,183,0,1506,605,10,45257,5765,18616,5464,1772,613,35209,14,1052,11,1058,423,305,341,482,1474,0,32,80,24,79
2020-08-11,1344,205,1322,52,80,3,5004,803,352,723,495,15,165,3471,7,592,9885,2,38,0,3761,447,2,103026,3,471,54,6,1,33,0,398,9038,61,76,10178,4693,13475,7,60,225,255,105,160,88,20,391,621,13,59,0,1346,5951,5059,570,83,0,63,63,440,1,333,30328,51,32,17,9208,215,214,0,2233,50,29,22,183,0,1515,605,10,46091,5824,18800,5531,1773,622,35215,14,1058,11,1269,438,305,341,486,1478,0,32,87,24,81
2020-08-12,1354,208,1333,53,80,3,5213,806,361,724,497,15,166,3513,7,595,9900,2,38,0,3827,453,2,104201,3,482,54,6,1,33,0,401,9052,61,76,10205,4697,13837,7,60,225,263,105,160,88,20,391,621,13,59,0,1371,5984,5085,577,83,0,63,63,463,1,333,30375,51,33,17,9213,223,216,0,2267,50,29,22,187,0,1533,605,10,47033,5903,18988,5588,1774,639,35225,14,1066,11,1269,456,305,341,489,1484,0,32,89,24,82
2020-08-13,1363,213,1341,53,80,3,5362,809,375,725,500,15,167,3557,7,599,9916,2,38,0,3884,458,3,105463,3,482,54,6,1,33,0,401,9063,61,76,10299,4700,14145,7,60,234,272,107,161,89,20,391,621,13,59,0,1393,6010,5107,584,83,0,63,65,479,1,333,30392,51,43,17,9217,223,221,0,2296,50,29,22,192,0,1542,607,10,48040,5968,19162,5641,1774,651,35231,14,1073,11,1269,460,305,365,489,1487,0,32,92,25,82
2020-08-14,1363,219,1351,53,86,3,5527,814,379,725,504,17,168,3591,7,603,9924,3,38,0,3939,469,3,106523,3,492,54,6,1,33,0,401,9068,61,76,10340,4701,14492,7,60,238,281,108,163,88,20,394,621,13,59,0,1409,6030,5124,595,83,0,63,68,492,1,333,30410,51,50,17,9230,223,223,0,2341,50,29,22,192,0,1548,607,10,49036,6021,19331,5709,1774,665,35234,14,1080,11,1269,465,305,381,494,1491,0,32,94,25,82
