date,Afghanistan,Albania,Algeria,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahrain,Bangladesh,Belarus,Belgium,Bolivia,Bosnia and Herzegovina,Brazil,Bulgaria,Cameroon,Canada,Chile,China,Colombia,Congo (Kinshasa),Costa Rica,Cote d'Ivoire,Croatia,Czechia,Denmark,Dominican Republic,Ecuador,Egypt,El Salvador,Ethiopia,Finland,France,Gabon,Germany,Ghana,Greece,Guatemala,Guinea,Honduras,Hungary,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Japan,Kazakhstan,Kenya,"Korea, South",Kosovo,Kuwait,Kyrgyzstan,Lebanon,Libya,Madagascar,Malaysia,Maldives,Mexico,Moldova,Morocco,Namibia,Nepal,Netherlands,Nigeria,North Macedonia,Norway,Oman,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Saudi Arabia,Senegal,Serbia,Singapore,South Africa,Spain,Sudan,Sweden,Switzerland,Tajikistan,Turkey,US,Ukraine,United Arab Emirates,United Kingdom,Uzbekistan,Venezuela,West Bank and Gaza,Zambia
2020-04-21,150,345,1152,840,609,4695,10971,865,784,87,577,9002,37,437,22991,170,329,13188,4969,77799,804,35,150,303,801,1753,4889,463,1207,870,48,16,2000,39181,16,95200,99,577,24,127,29,287,3975,842,60965,1096,9233,4507,51600,1239,489,74,8213,123,412,216,108,15,44,3349,16,2627,505,393,6,4,74,188,224,32,238,2156,204,53,6982,654,1297,917,614,2153,3873,1640,242,977,839,1055,82514,8,0,19400,0,14918,75204,367,1443,638,357,117,71,35
2020-04-22,166,356,1204,872,633,4932,11328,907,1026,92,769,9433,44,460,25318,174,397,14454,5386,77861,870,45,180,310,869,1989,5276,581,1262,935,63,21,2000,40657,24,99400,99,577,24,164,30,295,4370,913,63113,1146,9233,5215,54543,1356,515,74,8277,128,443,254,113,15,52,3452,16,2627,560,417,6,7,101,197,272,32,238,2527,231,62,7027,693,1513,1143,689,2406,4420,1812,253,1025,896,1055,85915,12,0,19900,0,16477,77366,424,1546,683,450,122,71,35
2020-04-23,179,385,1355,919,659,5047,11694,948,1082,108,938,9800,44,485,26573,190,668,14761,5804,77983,927,47,196,359,883,2152,5573,581,1328,1004,67,21,2000,42088,24,103300,99,577,30,170,31,390,5012,960,64843,1171,9233,5611,57576,1494,560,89,8501,138,498,302,140,15,58,3542,16,2627,661,456,7,10,101,197,301,32,307,2755,271,67,7422,722,1740,1201,750,2478,4891,1925,257,1067,924,1473,89250,14,0,20600,0,18491,80203,504,1637,712,561,126,74,37
2020-04-24,188,394,1408,976,728,5136,11872,1013,1113,112,1120,10122,54,538,27655,197,668,15149,6327,78109,1003,48,216,419,982,2371,5715,763,1366,1075,75,25,2500,43493,26,109800,134,577,30,191,58,458,5498,1002,66599,1204,9233,6003,60498,1530,604,94,8635,159,613,345,140,18,61,3663,16,2627,755,486,7,11,102,208,337,32,325,2866,319,78,7496,762,1944,1228,809,2817,5568,2049,262,1094,956,1473,92355,14,0,21000,0,21737,99079,782,1760,724,621,132,81,37
2020-04-25,188,403,1479,1030,803,5376,12103,1080,1160,113,1573,10417,54,592,29160,197,697,16013,6746,78175,1067,49,242,419,1034,2453,5858,822,1366,1114,75,29,2500,44594,30,109800,134,577,45,208,65,458,5939,1042,68193,1224,9233,6435,63120,1656,646,98,8717,162,656,345,143,18,62,3762,17,7149,825,537,7,12,102,222,374,32,329,2936,338,85,7797,792,2126,1277,929,2890,6250,2215,276,1152,1002,1473,95708,19,0,21300,0,25582,100372,782,1887,774,707,132,83,37
2020-04-26,207,410,1508,1107,833,5541,12282,1139,1189,122,1695,10785,80,624,30152,205,786,16883,7024,78277,1133,50,264,468,1103,2545,5994,910,1366,1176,83,41,2500,44903,30,112000,155,577,49,208,65,485,6523,1107,69657,1263,9233,6731,64928,1809,682,106,8764,165,806,370,145,18,71,3862,17,8354,895,593,8,16,117,239,500,32,333,3029,338,85,8088,862,2265,1329,1012,3054,6767,2357,283,1182,1060,1473,98372,20,0,21800,0,29140,106988,840,1978,778,789,137,83,42
2020-04-27,220,422,1558,1140,848,5588,12362,1162,1218,131,1740,10878,98,659,31142,206,805,18268,7327,78374,1210,50,287,499,1166,2826,6148,993,1557,1236,89,50,2500,45513,43,114500,155,577,49,246,79,498,7137,1151,70933,1286,9233,7200,66624,1899,720,114,8854,166,1012,395,145,18,75,3957,17,9086,925,695,8,16,117,255,553,32,364,3233,455,93,8425,932,2466,1357,1066,3141,7346,2531,284,1209,1095,1473,100875,21,0,22200,0,33791,111424,864,2090,807,892,142,83,42
2020-04-28,228,431,1651,1162,866,5665,12580,1221,1310,139,1993,10943,110,682,32544,222,915,19231,7710,78422,1268,56,306,525,1232,2948,6313,1165,1557,1304,97,50,2800,46886,53,117400,188,577,49,269,79,516,7747,1254,72439,1319,9233,7746,68941,1899,774,124,8922,201,1176,416,145,18,82,4032,17,11423,975,778,8,16,117,255,589,32,364,3425,455,102,9179,975,2655,1389,1134,3404,8456,2784,296,1260,1128,2073,102548,31,0,22600,0,38809,115936,992,2181,813,992,142,71,42
2020-04-29,252,455,1702,1192,900,5715,12779,1267,1455,150,2072,11283,117,710,34132,243,934,20327,8057,78474,1411,59,323,557,1288,3108,6558,1228,1557,1335,106,58,2800,48228,67,120400,188,577,62,313,73,536,8437,1391,73791,1346,13386,8233,71252,2368,819,129,9059,232,1389,437,150,18,90,4087,17,11423,1114,928,8,16,119,307,627,32,364,4315,527,102,10037,1023,3025,1470,1243,3569,10286,2953,315,1292,1188,2073,108947,32,0,22600,0,44040,120720,1103,2329,857,1096,142,71,54
2020-04-30,260,470,1779,1256,929,5742,12907,1325,1500,160,2386,11576,132,727,35935,266,934,21424,8580,78523,1439,73,338,574,1348,3314,6741,1301,1558,1381,119,59,3000,49476,67,123500,212,1374,66,329,79,581,9068,1522,75103,1375,13386,8561,75945,2460,866,144,9072,249,1539,462,150,18,92,4171,17,11423,1182,984,8,16,125,319,738,32,495,4715,576,113,10405,1043,3236,1519,1372,4017,11619,3163,334,1343,1244,2073,112050,39,0,23400,0,48886,153947,1238,2429,859,1133,142,76,55
